,ppid,heading,cameraoffset,occlusion,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWV,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt,StraightVisible,setpoint
2,k,-2.0,0,1,0,18.925149384921816,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5494312808846793,False,0
3,k,-2.0,0,1,0,18.928951238874337,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00377477697390205,False,0
4,k,-2.0,0,1,0,18.93624274101075,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007275091846342008,False,0
5,k,-2.0,0,1,0,18.94371434608071,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007513041052391145,False,0
6,k,-2.0,0,1,0,18.946493428704468,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002805749345128561,False,0
7,k,-2.0,0,1,0,18.95582924272665,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009336634536683874,False,0
8,k,-2.0,0,1,0,18.972568148857743,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01671347018147884,False,0
9,k,-2.0,0,1,0,18.989229516368237,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016665470083015776,False,0
10,k,-2.0,0,1,0,19.005871191530648,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016630598216611503,False,0
11,k,-2.0,0,1,0,19.022528046211377,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016659726481488946,False,0
12,k,-2.0,0,1,0,19.039239465106593,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01670690606545122,False,0
13,k,-2.0,0,1,0,19.055860627406414,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01662403410058033,False,0
14,k,-2.0,0,1,0,19.072549892410034,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01668967526087428,False,0
15,k,-2.0,0,1,0,19.08916736239459,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016647008506684102,False,0
16,k,-2.0,0,1,0,19.105838986336384,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016645777734925815,False,0
17,k,-2.0,0,1,0,19.122528251340004,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016697470148660187,False,0
18,k,-2.0,0,1,0,19.139177311132947,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016653162365461327,False,0
19,k,-2.0,0,1,0,19.15584196070146,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01665029056469791,False,0
20,k,-2.0,0,1,0,19.17245409734174,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016642495676912006,False,0
21,k,-2.0,0,1,0,19.189156080320164,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01667572651431115,False,0
22,k,-2.0,0,1,0,19.205816217058906,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016658905966988158,False,0
23,k,-2.0,0,1,0,19.222486610228945,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016668752141029586,False,0
24,k,-2.0,0,1,0,19.239147157224938,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016663829054007095,False,0
25,k,-2.0,0,1,0,19.255776934927045,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016650700821951858,False,0
26,k,-2.0,0,1,0,19.27246537941616,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166634187967567,False,0
27,k,-2.0,0,1,0,19.28911772126712,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016672034199043395,False,0
28,k,-2.0,0,1,0,19.305805755498987,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016665470083015776,False,0
29,k,-2.0,0,1,0,19.322631636167458,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016661367510497627,False,0
30,k,-2.0,0,1,0,19.33951413233668,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01675408564940639,False,0
31,k,-2.0,0,1,0,19.355791088802235,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01656700834258018,False,0
32,k,-2.0,0,1,0,19.372439738337924,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016660136738742892,False,0
33,k,-2.0,0,1,0,19.389121208453762,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01670362400743386,False,0
34,k,-2.0,-2.0,1,0,19.405893345422246,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166962393769019,False,0
35,k,-2.0,-2.0,1,0,19.422429994728194,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016582187860898046,False,0
36,k,-2.0,-2.0,1,0,19.439367875626413,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016806188320387605,False,0
37,k,-2.0,-2.0,1,0,19.456237243563578,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016725367641779343,False,0
38,k,-2.0,-2.0,1,0,19.472542918036755,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016515726186103308,False,0
39,k,-2.0,-2.0,1,0,19.489306849860206,-1,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01679757291809736,False,0
